TIME,SENSOR ID,DATE TIME,VALUES
1,101,2020-07-01 10:00:41,-18.44
,102,2020-07-01 10:00:41,-16.32
,103,2020-07-01 10:00:41,-15.55
,104,2020-07-01 10:00:41,-16.36
,106,2020-07-01 10:00:41,-15.32
,105,2020-07-01 10:00:41,-16.55
,110,2020-07-01 10:00:41,-16.85
,111,2020-07-01 10:00:41,-17.98
,107,2020-07-01 10:00:41,-17.11
,108,2020-07-01 10:00:41,-16.14
,109,2020-07-01 10:00:41,-14.44
,112,2020-07-01 10:00:41,-18.65
,113,2020-07-01 10:00:41,-15.88
,114,2020-07-01 10:00:41,-16.99
,115,2020-07-01 10:00:41,-17.32
,116,2020-07-01 10:00:41,-14.99
,117,2020-07-01 10:00:41,-16.65
,118,2020-07-01 10:00:41,-17.11
2,101,2020-07-01 10:02:48,-18.44
,102,2020-07-01 10:02:48,-16.32
,103,2020-07-01 10:02:48,-15.65
,104,2020-07-01 10:02:48,-16.94
,109,2020-07-01 10:02:48,-14.54
,105,2020-07-01 10:02:48,-16.65
,106,2020-07-01 10:02:48,-15.44
,107,2020-07-01 10:02:48,-17.32
,108,2020-07-01 10:02:48,-16.89
,110,2020-07-01 10:02:48,-16.13
,111,2020-07-01 10:02:48,-16.00
,112,2020-07-01 10:02:48,-18.65
,113,2020-07-01 10:02:48,-15.88
,114,2020-07-01 10:02:48,-16.35
,115,2020-07-01 10:02:48,-17.44
,116,2020-07-01 10:02:48,-14.99
,117,2020-07-01 10:02:48,-16.65
,118,2020-07-01 10:02:48,-17.32
3,101,2020-07-01 10:04:19,-18.55
,102,2020-07-01 10:04:19,-16.88
,103,2020-07-01 10:04:19,-14.66
,104,2020-07-01 10:04:19,-16.79
,105,2020-07-01 10:04:19,-16.65
,110,2020-07-01 10:04:19,-16.39
,106,2020-07-01 10:04:19,-15.88
,107,2020-07-01 10:04:19,-17.32
,108,2020-07-01 10:04:19,-16.76
,109,2020-07-01 10:04:19,-14.66
,111,2020-07-01 10:04:19,-16.44
,112,2020-07-01 10:04:19,-18.88
,113,2020-07-01 10:04:19,-14.32
,116,2020-07-01 10:04:19,-13.76
,117,2020-07-01 10:04:19,-16.98
,118,2020-07-01 10:04:19,-17.44
,115,2020-07-01 10:04:19,-17.65
,114,2020-07-01 10:04:19,-16.41
4,101,2020-07-01 10:06:15,-18.88
,102,2020-07-01 10:06:15,-15.98
,103,2020-07-01 10:06:15,-12.65
,104,2020-07-01 10:06:15,-15.79
,109,2020-07-01 10:06:15,-12.87
,105,2020-07-01 10:06:15,-15.88
,106,2020-07-01 10:06:15,-13.66
,107,2020-07-01 10:06:15,-17.55
,108,2020-07-01 10:06:15,-15.41
,110,2020-07-01 10:06:15,-15.88
,111,2020-07-01 10:06:15,-15.65
,112,2020-07-01 10:06:15,-17.00
,113,2020-07-01 10:06:15,-12.44
,114,2020-07-01 10:06:15,-16.16
,115,2020-07-01 10:06:15,-17.98
,116,2020-07-01 10:06:15,-18.69
,117,2020-07-01 10:06:15,-15.88
,118,2020-07-01 10:06:15,-17.65
5,102,2020-07-01 10:08:27,-15.65
,101,2020-07-01 10:08:27,-17.00
,103,2020-07-01 10:08:27,-12.11
,104,2020-07-01 10:08:27,-15.33
,109,2020-07-01 10:08:27,-12.65
,105,2020-07-01 10:08:27,-15.65
,107,2020-07-01 10:08:27,-17.65
,106,2020-07-01 10:08:27,-13.10
,108,2020-07-01 10:08:27,-15.26
,110,2020-07-01 10:08:27,-14.82
,111,2020-07-01 10:08:27,-15.21
,112,2020-07-01 10:08:27,-17.11
,113,2020-07-01 10:08:27,-12.00
,114,2020-07-01 10:08:27,-15.30
,115,2020-07-01 10:08:27,-16.00
,116,2020-07-01 10:08:27,-14.30
,117,2020-07-01 10:08:27,-15.55
,118,2020-07-01 10:08:27,-17.88
6,101,2020-07-01 10:10:38,-17.11
,103,2020-07-01 10:10:38,-13.88
,102,2020-07-01 10:10:38,-15.55
,104,2020-07-01 10:10:38,-15.58
,105,2020-07-01 10:10:38,-15.32
,106,2020-07-01 10:10:38,-14.66
,107,2020-07-01 10:10:38,-17.88
,108,2020-07-01 10:10:38,-15.02
,109,2020-07-01 10:10:38,-12.33
,110,2020-07-01 10:10:38,-15.08
,111,2020-07-01 10:10:38,-15.00
,112,2020-07-01 10:10:38,-17.21
,113,2020-07-01 10:10:38,-13.88
,114,2020-07-01 10:10:38,-15.38
,115,2020-07-01 10:10:38,-16.00
,116,2020-07-01 10:10:38,-14.30
,118,2020-07-01 10:10:38,-17.88
,117,2020-07-01 10:10:38,-15.44
7,101,2020-07-01 10:12:09,-17.11
,102,2020-07-01 10:12:09,-15.44
,103,2020-07-01 10:12:09,-13.88
,104,2020-07-01 10:12:09,-15.04
,108,2020-07-01 10:12:09,-15.17
,105,2020-07-01 10:12:09,-15.32
,106,2020-07-01 10:12:09,-14.44
,107,2020-07-01 10:12:09,-17.88
,110,2020-07-01 10:12:09,-15.35
,111,2020-07-01 10:12:09,-15.00
,112,2020-07-01 10:12:09,-17.32
,113,2020-07-01 10:12:09,-13.76
,109,2020-07-01 10:12:09,-12.33
,114,2020-07-01 10:12:09,-15.31
,115,2020-07-01 10:12:09,-16.11
,116,2020-07-01 10:12:09,-14.30
,117,2020-07-01 10:12:09,-15.44
,118,2020-07-01 10:12:09,-17.98
8,101,2020-07-01 10:13:40,-17.11
,102,2020-07-01 10:13:40,-15.32
,103,2020-07-01 10:13:40,-13.88
,104,2020-07-01 10:13:40,-15.69
,105,2020-07-01 10:13:40,-15.32
,106,2020-07-01 10:13:40,-14.44
,107,2020-07-01 10:13:40,-17.98
,108,2020-07-01 10:13:40,-15.51
,109,2020-07-01 10:13:40,-12.11
,110,2020-07-01 10:13:40,-15.16
,111,2020-07-01 10:13:40,-15.00
,112,2020-07-01 10:13:40,-17.32
,113,2020-07-01 10:13:40,-13.76
,114,2020-07-01 10:13:40,-15.67
,115,2020-07-01 10:13:40,-16.11
,116,2020-07-01 10:13:40,-14.30
,117,2020-07-01 10:13:40,-15.55
,118,2020-07-01 10:13:40,-17.98
9,101,2020-07-01 10:15:54,-17.21
,102,2020-07-01 10:15:54,-15.44
,103,2020-07-01 10:15:54,-13.99
,104,2020-07-01 10:15:54,-14.96
,109,2020-07-01 10:15:54,-12.11
,105,2020-07-01 10:15:54,-15.55
,106,2020-07-01 10:15:54,-14.44
,107,2020-07-01 10:15:54,-16.00
,108,2020-07-01 10:15:54,-15.41
,110,2020-07-01 10:15:54,-15.69
,111,2020-07-01 10:15:54,-15.00
,112,2020-07-01 10:15:54,-17.44
,113,2020-07-01 10:15:54,-13.76
,114,2020-07-01 10:15:54,-15.02
,115,2020-07-01 10:15:54,-16.11
,116,2020-07-01 10:15:54,-14.30
,117,2020-07-01 10:15:54,-15.65
,118,2020-07-01 10:15:54,-16.00
10,101,2020-07-01 10:17:24,-17.32
,102,2020-07-01 10:17:24,-15.44
,103,2020-07-01 10:17:24,-13.99
,104,2020-07-01 10:17:24,-15.50
,109,2020-07-01 10:17:24,-12.11
,105,2020-07-01 10:17:24,-15.65
,106,2020-07-01 10:17:24,-14.66
,107,2020-07-01 10:17:24,-16.11
,108,2020-07-01 10:17:24,-15.00
,110,2020-07-01 10:17:24,-15.40
,111,2020-07-01 10:17:24,-15.00
,112,2020-07-01 10:17:24,-17.44
,113,2020-07-01 10:17:24,-13.76
,114,2020-07-01 10:17:24,-14.82
,115,2020-07-01 10:17:24,-16.21
,116,2020-07-01 10:17:24,-14.30
,117,2020-07-01 10:17:24,-15.65
,118,2020-07-01 10:17:24,-16.11
11,101,2020-07-01 10:18:55,-17.32
,102,2020-07-01 10:18:55,-15.44
,103,2020-07-01 10:18:55,-13.99
,104,2020-07-01 10:18:55,-15.44
,108,2020-07-01 10:18:55,-14.98
,105,2020-07-01 10:18:55,-15.76
,106,2020-07-01 10:18:55,-14.76
,107,2020-07-01 10:18:55,-16.11
,109,2020-07-01 10:18:55,-12.11
,110,2020-07-01 10:18:55,-14.96
,111,2020-07-01 10:18:55,-15.00
,112,2020-07-01 10:18:55,-17.55
,113,2020-07-01 10:18:55,-13.88
,114,2020-07-01 10:18:55,-15.81
,115,2020-07-01 10:18:55,-16.32
,116,2020-07-01 10:18:55,-14.30
,117,2020-07-01 10:18:55,-15.65
,118,2020-07-01 10:18:55,-16.11
12,101,2020-07-01 10:20:25,-17.44
,102,2020-07-01 10:20:25,-15.44
,103,2020-07-01 10:20:25,-13.99
,104,2020-07-01 10:20:25,-15.12
,109,2020-07-01 10:20:25,-12.00
,105,2020-07-01 10:20:25,-15.76
,106,2020-07-01 10:20:25,-14.88
,107,2020-07-01 10:20:25,-16.21
,108,2020-07-01 10:20:25,-15.70
,110,2020-07-01 10:20:25,-15.17
,111,2020-07-01 10:20:25,-15.00
,112,2020-07-01 10:20:25,-17.65
,113,2020-07-01 10:20:25,-13.88
,114,2020-07-01 10:20:25,-15.07
,115,2020-07-01 10:20:25,-16.44
,116,2020-07-01 10:20:25,-14.30
,117,2020-07-01 10:20:25,-15.76
,118,2020-07-01 10:20:25,-16.21
13,101,2020-07-01 10:21:56,-17.44
,102,2020-07-01 10:21:56,-15.44
,103,2020-07-01 10:21:56,-12.00
,104,2020-07-01 10:21:56,-15.32
,105,2020-07-01 10:21:56,-15.88
,106,2020-07-01 10:21:56,-14.99
,107,2020-07-01 10:21:56,-16.32
,108,2020-07-01 10:21:56,-14.93
,109,2020-07-01 10:21:56,-12.00
,110,2020-07-01 10:21:56,-15.64
,111,2020-07-01 10:21:56,-15.11
,112,2020-07-01 10:21:56,-17.65
,113,2020-07-01 10:21:56,-13.88
,114,2020-07-01 10:21:56,-15.58
,115,2020-07-01 10:21:56,-16.44
,116,2020-07-01 10:21:56,-14.30
,118,2020-07-01 10:21:56,-16.32
,117,2020-07-01 10:21:56,-15.88
14,101,2020-07-01 10:23:26,-17.55
,102,2020-07-01 10:23:26,-15.44
,103,2020-07-01 10:23:26,-12.00
,104,2020-07-01 10:23:26,-15.10
,109,2020-07-01 10:23:26,-12.00
,105,2020-07-01 10:23:26,-15.88
,106,2020-07-01 10:23:26,-14.99
,107,2020-07-01 10:23:26,-16.32
